country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Equatorial Guinea,6,6,6,6.5,6.5,7,7,6.5,6.5,6.5,,6.5,6.5,7,7,7,7,7,7,7,6.5,7,7,7,7,7,7,7,7,6,6.5,6.5,6.5,6.5,6.5,6.5,7,7,7,7,7,7,7,7,7,7,7,7,7
Greece,6,6,2,2,2,2,2,2,1.5,1.5,,1.5,1.5,2,2,2,2,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2,2,2,1.5,1.5,1.5
Grenada,,,3,3,3,2.5,2.5,5,5.5,5.5,,6.5,4,2.5,2,1.5,1.5,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Guatemala,2.5,2,3.5,3.5,3.5,3.5,3.5,4.5,6,6,,6,5.5,4,3,3,3,3,3.5,4,4.5,4.5,4.5,4.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3.5,4,4,4,4,4,4
Guyana,2,3,7,3.5,3,3,4,4,4.5,4.5,,5,5,5,5,5,5,4.5,4.5,4.5,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Honduras,5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.5,2.5,,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,2.5,2.5,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4.5
Croatia,,,,,,,,,,,,,,,,,,,,3.5,4,4,4,4,4,4,4,4,2.5,2,2,2,2,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Haiti,6.5,6,6,6,6,6.5,6.5,6.5,6.5,6.5,,6.5,6.5,6.5,4.5,5.5,6,6,4,7,7,7,5,5,4.5,4.5,5,5,5.5,6,6,6,6.5,6.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5,5,5
Hungary,6,6,6,6,6,5.5,5.5,5.5,5.5,5.5,,5.5,5.5,5,5,4.5,4.5,3.5,2,2,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1,1,1,1,1,1,1.5,1.5,1.5,2,2,2.5,2.5,3,3,3
Indonesia,5,5,5,5,5,5,5,5,5,5,,5,5.5,5.5,5.5,5.5,5,5,5.5,5.5,5.5,6.5,6.5,6.5,6,6,5,4,3.5,3.5,3.5,3.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3
